"statefips","countyfips","cv1","cv3","year","cv5","cv6","cv7","cv59","cv2","cv4","cv58","cv28","cv8","cv9","cv10","cv11","cv12","cv13","cv14","cv15","cv16","cv17","cv18","cv19","cv20","cv21","cv22","cv23","cv24","cv25","cv26","cv27","cv29","name","cv87","cv60"
"54","037",42190,,2000,,,,21581,876,,4718,17623,,,,,,,,,,,,,,,,,,,,,13678,,,
"11","001",601723,,2010,,,,308602,,,68809,296719,,,,,,,,,,,,,,,,,,,,,,"District of Columbia",158114680,0.5315
"24","009",88737,,2010,,,,45266,,,9683,33780,,,,,,,,,,,,,,,,,,,,,,"Calvert County",552061078,0.371
"24","017",146551,,2010,,,,75173,,,13852,54963,,,,,,,,,,,,,,,,,,,,,,"Charles County",1185563933,0.3698
"24","021",233385,,2010,,,,123430,,,25914,90136,,,,,,,,,,,,,,,,,,,,,,"Frederick County",1709964627,0.3879
"24","031",971777,,2010,,,,522564,,,119769,375905,,,,,,,,,,,,,,,,,,,,,,"Montgomery County",1272343169,0.4557
"24","033",863420,,2010,,,,456959,,,81513,328182,,,,,,,,,,,,,,,,,,,,,,"Prince George's County",1250163582,0.385
"51","013",207627,,2010,,,,134017,,,18054,105404,,,,,,,,,,,,,,,,,,,,,,"Arlington County",67273573,0.4301
"51","043",14034,,2010,,,,7078,,,2287,6235,,,,,,,,,,,,,,,,,,,,,,"Clarke County",456297605,0.4088
"51","047",46689,,2010,,,,21775,,,5698,17657,,,,,,,,,,,,,,,,,,,,,,"Culpeper County",982210871,0.3805
"51","059",1081726,,2010,,,,586532,,,106290,407998,,,,,,,,,,,,,,,,,,,,,,"Fairfax County",1012604465,0.4167
"51","061",65203,,2010,,,,33609,,,8289,25600,,,,,,,,,,,,,,,,,,,,,,"Fauquier County",1676885536,0.4231
"51","107",312311,,2010,,,,168008,,,20425,109442,,,,,,,,,,,,,,,,,,,,,,"Loudoun County",1335297272,0.3577
